PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P03066,Velachery,1774,01-06-2011,149,2.0,1.0,4,AdjLand,Noo,12-06-1964,House,ELO,No Access,A,2.2,4.7,5.0,4.17,194043,51745,6468090
P01407,Anna Nagar,1677,29-05-2012,123,1.0,1.0,4,Partial,No,01-06-2002,House,ELO,Gravel,RL,2.5,3.2,4.3,3.395,310623,203100,11947050
P08383,Adyar,797,21-01-2008,74,1.0,1.0,2,AdjLand,Yes,30-01-1969,House,ELO,No Access,RL,4.2,4.0,4.4,4.26,239253,111651,7975085
P00340,Anna Nagar,1919,25-06-2014,178,2.0,1.0,5,Partial,Yes,28-06-2001,House,NoSeWa,Gravel,RM,2.4,5.0,3.3,3.41,544054,117633,14704160
P01314,Chrompet,764,14-08-2012,36,1.0,1.0,2,AbNormal,No,22-08-1982,Others,NoSeWa,Gravel,RM,3.9,4.8,4.2,4.35,237333,135619,8476180
P04709,Adyar,1296,14-07-2010,39,2.0,2.0,4,AbNormal,Yes,21-07-1983,Others,AllPub,No Access,RM,4.8,4.7,2.2,3.48,466060,151470,11651505
P05948,Karapakkam,1537,22-11-2009,42,2.0,2.0,4,AdjLand,No,28-11-1984,Others,ELO,Paved,RH,3.7,4.7,2.2,3.4,359860,147215,8178625
P02387,KK Nagar,1591,15-10-2011,101,2.0,1.0,4,AbNormal,Yes,20-10-1991,House,NoSewr ,Paved,RH,4.4,2.5,4.3,3.79,404381,225701,9404200
P05795,Anna Nagar,1663,21-12-2009,64,1.0,1.0,4,Partial,No,26-12-1988,Others,NoSeWa,Gravel,RL,4.9,2.0,4.8,4.135,411826,154435,12869560
P05461,Karapakkam,1129,19-02-2010,195,1.0,1.0,3,Normal Sale,Yes,26-02-1983,Others,NoSewr ,Paved,C,2.6,2.7,2.5,2.59,297718,64721,6472125
P01137,Anna Nagar,1970,04-12-2012,77,2.0,1.0,5,Normal Sale,No,12-12-1980,Others,NoSeWa,Gravel,RM,4.4,2.0,4.8,3.96,577955,197721,15209340
P00075,Chrompet,1087,26-12-2014,141,1.0,1.0,3,Family,Yes,31-12-1993,Commercial,NoSewr ,No Access,RH,4.4,2.7,4.9,3.87,357238,160141,12318550
P04438,Karapakkam,1431,30-08-2010,146,2.0,2.0,4,Partial,No,03-09-1995,Others,NoSeWa,Gravel,RH,4.3,2.0,4.5,3.69,293738,81594,8159375
P07371,Chrompet,1138,05-12-2008,36,1.0,1.0,3,AbNormal,No,07-12-2000,Commercial,AllPub,Gravel,RM,3.4,2.9,3.6,3.26,446859,72074,14414800
P01571,Karapakkam,677,15-03-2012,178,1.0,1.0,2,Family,Yes,27-03-1965,Commercial,NoSewr ,No Access,C,4.6,4.0,4.5,4.38,276029,67599,5633250
P00614,Ana Nagar,1914,26-11-2013,196,2.0,1.0,5,Normal Sale,No,28-11-2004,Commercial,AllPub,Paved,RL,4.7,4.9,2.8,3.99,639920,277299,21330680
P09106,Chrompet,906,05-04-2007,6,1.0,1.0,3,Partial,No,14-04-1970,House,ELO,Gravel,RL,3.9,4.8,4.3,4.38,229307,114653,7643550
P08919,Chrompet,1167,20-06-2007,142,1.0,1.0,3,Partial,No,22-06-1996,Others,NoSeWa,Gravel,RL,4.8,4.3,2.6,3.94,244751,78320,9790040
P07354,Chrompet,892,11-12-2008,155,1.0,1.0,3,AdjLand,Yes,19-12-1976,Others,ELO,No Access,RL,3.1,3.8,3.2,3.41,282752,111387,8568240
P07523,Chrompet,713,14-10-2008,168,1.0,1.0,2,Normal Sale,No,23-10-1973,Commercial,NoSeWa,No Access,RH,3.4,3.8,2.9,3.41,250203,32284,8071050
P03626,T Nagar,1664,13-02-2011,108,1.0,1.0,4,Normal Sale,No,23-02-1969,Others,AllPub,Paved,RM,2.3,4.3,4.4,3.745,516824,119267,13251910
P08851,Adyar,1185,25-07-2007,130,1.0,1.0,3,Partial,No,31-07-1982,Others,NoSeWa,Gravel,RH,2.9,3.2,4.7,3.86,312163,37838,9459475
P07140,Adyar,691,09-02-2009,182,1.0,1.0,2,AbNormal,No,16-02-1983,House,ELO,No Access,I,3.0,3.4,4.6,3.88,158899,5126,5125790
P01081,Chrompet,942,09-01-2013,18,1.0,1.0,3,AbNormal,Yes,19-01-1975,Others,AllPub,Gravel,RL,3.3,4.6,4.9,4.3,324193,167009,9824040
P02545,Karapakkam,586,13-09-2011,45,1.0,1.0,2,AbNormal,No,23-09-1969,Others,NoSewr ,Paved,RH,3.3,3.4,2.2,2.89,203702,71059,4737250
P03844,KK Nagar,1927,01-01-2011,174,3.0,2.0,5,AdjLand,Yes,02-01-2005,Others,NoSeWa,Gravel,RM,4.2,4.5,3.1,3.85,539362,269681,13484060
P06950,Velachery,1837,10-04-2009,75,3.0,2.0,5,Normal Sale,No,15-04-1991,Others,NoSewr ,Paved,RM,2.6,3.5,3.0,3.13,388000,148353,11411760
P01555,Karapakkam,1530,18-03-2012,128,2.0,2.0,4,Family,No,21-03-2001,Commercial,NoSewr ,No Access,RM,3.4,2.5,3.8,3.29,481850,301156,12046250
P00146,Chrompet,1156,10-11-2014,93,1.0,1.0,3,Family,No,15-11-1992,Commercial,NoSeWa,Gravel,RM,4.3,4.9,5.0,4.75,423741,211871,14124700
P03687,Chrompet,941,31-01-2011,34,1.0,1.0,3,AdjLand,No,08-02-1978,Others,NoSewr ,Gravel,RM,4.1,3.6,3.8,3.81,261795,77569,9696120
P02251,KK Nagar,1879,06-11-2011,45,3.0,2.0,5,AbNormal,No,10-11-1995,Others,AllPub,Paved,RM,2.6,4.2,2.6,3.08,515012,137336,11444700
P06592,Adyar,866,18-07-2009,177,1.0,1.0,3,Family,Yes,25-07-1980,Others,ELO,Paved,A,2.8,4.7,4.6,4.08,206669,86668,6666735
P00420,T Nagar,1541,30-04-2014,184,1.0,1.0,4,Family,Yes,01-05-2009,House,AllPub,Gravel,RM,4.5,4.2,2.7,3.615,355029,136550,13654950
P06578,Karapakkam,954,21-07-2009,90,1.0,1.0,3,Family,No,31-07-1969,Commercial,NoSeWa,Gravel,C,2.7,4.5,4.0,3.76,360700,64926,7214000
P01372,Anna Nagar,1902,02-07-2012,168,2.0,1.0,5,Family,Yes,13-07-1970,Commercial,ELO,Paved,RL,4.5,4.9,4.9,4.76,742113,212032,21203240
P01098,Chrompet,806,28-12-2012,199,1.0,1.0,3,AbNormal,No,02-01-1993,Others,ELO,Gravel,RL,3.4,4.9,4.9,4.45,231790,49669,8278220
P07714,Anna Nagar,1708,24-08-2008,81,1.0,1.0,4,AbNormal,Yes,29-08-1989,Commercial,AllPub,Gravel,RM,4.2,4.4,3.8,4.09,535162,214065,21406480
P07685,Chrompet,858,02-09-2008,135,1.0,1.0,3,Partial,Yes,07-09-1989,Commercial,NoSewr ,No Access,RH,3.1,2.7,2.0,2.61,341057,51675,10335050
P04057,Karapakkam,1354,16-11-2010,72,2.0,2.0,4,AdjLand,No,28-11-1963,House,NoSewr ,No Access,C,3.4,2.6,4.2,3.48,210381,123150,5131250
P05101,Velachery,1662,01-05-2010,50,2.0,1.0,4,Normal Sale,Yes,08-05-1983,Commercial,ELO,Gravel,A,2.3,2.8,2.7,,526420,197407,13160490
P07466,KK Nagar,1859,01-11-2008,54,3.0,2.0,5,AdjLand,Yes,08-11-1980,Commercial,NoSeWa,Gravel,RH,3.8,4.4,2.4,3.42,624739,336398,16018960
P01657,Karapakkam,593,01-03-2012,101,1.0,1.0,2,Normal Sale,Yes,05-03-1998,Others,ELO,Gravel,A,2.2,4.6,2.0,2.84,175082,87541,4863375
P08817,T Nagar,1867,09-08-2007,127,2.0,1.0,5,Normal Sale,Yes,17-08-1974,Commercial,NoSeWa,No Access,RL,2.2,2.1,3.1,2.58,823250,205813,20581260
P07457,KK Nagar,1514,04-11-2008,4,2.0,1.0,4,Normal Sale,Yes,10-11-1985,House,NoSeWa,Paved,RH,5.0,4.1,3.5,4.13,326724,154286,9075660
P01806,T Nagar,1972,05-02-2012,175,2.0,1.0,5,Partial,Yes,14-02-1973,Others,ELO,Paved,RH,4.5,4.9,2.4,3.655,487956,181241,13941590
P04552,Karapakkam,1291,10-08-2010,74,1.0,1.0,3,Family,Yes,16-08-1986,House,NoSeWa,No Access,RM,2.2,2.7,2.8,2.59,348150,186220,8096500
P09185,Anna Nagar,1821,06-03-2007,14,2.0,1.0,5,Partial,Yes,11-03-1984,House,AllPub,Gravel,RM,3.1,2.7,4.4,3.52,488201,215383,14358860
P08527,Adyar,939,20-11-2007,88,1.0,1.0,3,AdjLand,No,29-11-1970,Others,ELO,Gravel,I,2.2,4.6,4.8,3.98,275959,16233,8116455
P05794,T Nagar,1894,21-12-2009,195,2.0,1.0,5,Normal Sale,No,01-01-1967,House,NoSewr ,No Access,RL,4.0,2.4,3.3,3.285,438931,130493,11863010
P09992,Velachery,1938,27-04-2004,154,3.0,2.0,5,AdjLand,Yes,07-05-1964,Commercial,NoSewr ,No Access,RH,2.7,4.3,4.7,4.02,477090,190836,15903000
P06359,Karapakkam,532,06-09-2009,78,1.0,1.0,2,AbNormal,No,13-09-1982,House,NoSewr ,No Access,RM,3.3,3.5,2.8,3.16,163781,126798,5283250
P05749,Chrompet,779,30-12-2009,119,1.0,1.0,2,Family,Yes,09-01-1970,Others,NoSewr ,Paved,RH,2.9,3.8,3.6,3.47,196946,106048,7574830
P05072,KK Nagar,2097,05-05-2010,91,3.0,2.0,5,AbNormal,No,10-05-1989,House,NoSeWa,Paved,RH,4.7,4.7,3.1,4.06,363304,235656,9819020
P00494,T Nagar,1778,28-02-2014,125,1.0,1.0,4,AdjLand,No,04-03-1999,Others,NoSewr ,Gravel,RH,3.3,2.0,3.8,3.2,426034,219889,13743040
P01062,Chrompet,1096,16-01-2013,179,1.0,1.0,3,AdjLand,Yes,26-01-1973,Others,NoSewr ,Gravel,RH,3.4,4.8,3.7,4.05,261033,90357,10039720
P01754,Karapakkam,1374,13-02-2012,28,2.0,2.0,4,Normal Sale,Yes,22-02-1974,Commercial,NoSewr ,Gravel,RH,3.4,3.1,3.9,3.51,414313,224913,11837500
P01160,Chrompet,1069,21-11-2012,199,1.0,1.0,3,AdjLand,Yes,28-11-1987,House,ELO,No Access,RL,4.0,3.2,3.0,3.38,256857,132857,8857150
P06012,Adyar,1087,10-11-2009,141,1.0,1.0,3,Normal Sale,No,11-11-2004,Others,AllPub,Paved,C,4.8,4.4,4.3,4.47,322042,8257,8257475
P07704,Chrompet,1063,28-08-2008,43,1.0,1.0,3,Partial,No,29-08-2004,House,NoSeWa,Gravel,RH,2.3,4.3,4.2,3.67,271108,131446,8215400
P03458,KK Nagar,1629,23-03-2011,111,2.0,1.0,4,Normal Sale,Yes,25-03-2000,Commercial,AllPub,Paved,RM,4.6,2.5,2.4,3.09,574707,124261,15532620
P06005,Adyar,1208,12-11-2009,80,2.0,2.0,4,Normal Sale,No,21-11-1975,Others,AllPub,Paved,RL,4.7,2.8,4.6,4.27,317856,10253,10253410
P08401,Anna Nagar,1991,14-01-2008,123,2.0,1.0,5,AdjLand,No,17-01-1996,Commercial,ELO,Paved,RH,4.5,3.5,4.3,4.17,747262,213503,21350340
P05279,Karapakkam,624,25-03-2010,34,1.0,1.0,2,Family,No,02-04-1979,Commercial,ELO,No Access,C,4.4,3.4,3.0,3.54,202228,92321,4396250
P07471,T Nagar,1852,30-10-2008,174,2.0,1.0,5,Partial,No,07-11-1976,Commercial,ELO,Gravel,RL,4.1,4.7,4.2,4.295,588755,284226,20301890
P06017,Karapakkam,727,09-11-2009,88,1.0,1.0,2,Family,Yes,12-11-1996,Others,ELO,Paved,I,3.8,2.7,3.1,3.19,228535,99618,5859875
P08877,Adyar,973,12-07-2007,15,1.0,1.0,3,Family,Yes,20-07-1972,Commercial,NoSewr ,Gravel,A,3.9,4.2,2.8,3.41,329374,164687,10979125
P09513,Chrompet,1031,30-10-2006,42,1.0,1.0,3,AdjLand,No,02-11-1992,Commercial,AllPub,Gravel,RH,2.9,4.8,3.9,3.96,329402,215378,12669300
P09211,Anna Nagar,1794,24-02-2007,10,1.0,1.0,4,Partial,Yes,27-02-1993,House,AllPub,Paved,RH,4.8,2.9,5.0,4.405,316341,177151,12653630
P04341,KK Nagar,1761,20-09-2010,189,2.0,1.0,4,Partial,Yes,27-09-1982,Commercial,AllPub,Paved,RH,4.8,2.1,2.0,2.87,518298,143972,14397160
P04274,KK Nagar,1919,03-10-2010,96,3.0,2.0,5,AbNormal,No,06-10-1997,Others,AllPub,Paved,RM,5.0,3.2,2.8,3.58,467218,163526,11680440
P03511,T Nagar,1902,13-03-2011,130,2.0,1.0,5,AbNormal,No,20-03-1982,Commercial,AllPub,Paved,RH,3.4,2.0,3.2,2.96,544913,262366,20181980
P02222,Karapakkam,977,12-11-2011,39,1.0,1.0,3,Partial,No,15-11-1996,Commercial,NoSewr ,Paved,C,2.8,2.4,2.7,2.64,354763,149000,7095250
P05633,Adyar,733,22-01-2010,190,1.0,1.0,2,AbNormal,No,31-01-1974,Others,ELO,No Access,C,4.3,5.0,2.4,3.49,146605,73303,4886840
P03358,KK Nagar,1484,09-04-2011,54,2.0,1.0,4,Partial,Yes,15-04-1984,Other,NoSewr ,Gravel,RH,3.4,2.5,4.2,,302902,224733,9771020
P00655,Chrompet,1290,05-11-2013,168,2.0,1.0,4,Partial,No,07-11-2004,Others,NoSewr ,Paved,RH,5.0,2.2,4.6,3.76,255124,75592,9449050
P01922,Karapakkam,1180,14-01-2012,81,1.0,1.0,3,Partial,No,18-01-1993,Others,NoSeWa,Gravel,RM,2.3,2.2,3.4,2.71,393237,75301,8366750
P05562,Adyar,728,03-02-2010,52,1.0,1.0,2,Normal Sale,No,08-02-1990,Commercial,AllPub,Paved,I,2.2,2.7,2.2,2.3,345583,27283,9094300
P03047,Karapakkam,807,06-06-2011,67,1.0,1.0,2,Normal Sale,Yes,07-06-2004,Others,NoSeWa,No Access,RM,3.0,3.9,4.1,3.71,235705,60827,7603375
P07940,Velachery,1634,16-06-2008,73,2.0,1.0,4,AbNormal,No,20-06-1992,Others,AllPub,Paved,RH,2.5,4.3,3.9,3.73,356825,106083,9643920
P04714,Chrompet,1211,13-07-2010,156,2.0,1.0,4,AdjLand,No,18-07-1991,House,NoSewr ,No Access,RH,2.7,4.8,2.5,3.48,228991,139030,8178250
P06445,Karapakkam,1095,18-08-2009,190,1.0,1.0,3,Partial,Yes,26-08-1977,House,ELO,No Access,I,2.7,3.0,2.7,2.79,246263,65670,5472500
P05435,Karapakkam,729,24-02-2010,161,1.0,1.0,2,AdjLand,Yes,02-03-1986,Others,NoSeWa,Gravel,I,3.1,4.6,2.6,3.35,200366,153614,6678875
P01723,Karapakkam,1109,19-02-2012,7,1.0,1.0,3,Normal Sale,No,25-02-1988,House,NoSewr ,Gravel,A,3.9,4.8,5.0,4.61,176987,130138,5205500
P09987,Velachery,1939,12-05-2004,196,3.0,2.0,5,Family,No,16-05-1988,Commercial,AllPub,No Access,I,2.8,4.6,3.1,3.7,533256,201772,14412320
P09028,Adyar,930,08-05-2007,99,1.0,1.0,3,Normal Sale,Yes,14-05-1980,Others,ELO,Gravel,C,3.0,3.1,5.0,4.02,323595,24892,8297305
P08339,Chrompet,1028,08-02-2008,54,1.0,1.0,3,Partial,No,13-02-1985,Commercial,NoSewr ,Paved,RH,4.7,2.8,2.0,3.13,324975,145679,11206050
P03007,Karapakkam,1299,15-06-2011,114,1.0,1.0,3,AdjLand,No,26-06-1965,Commercial,NoSewr ,Paved,I,3.0,4.7,2.4,3.27,336186,177432,9338500
P05543,Adyar,645,06-02-2010,19,1.0,1.0,2,Normal Sale,Yes,09-02-1998,Commercial,NoSeWa,Paved,C,4.4,2.7,2.5,3.11,307772,61554,8793480
P09537,Adyar,1182,20-10-2006,187,1.0,1.0,3,AbNormal,Yes,27-10-1977,Commercial,NoSeWa,Paved,RM,4.6,2.7,2.9,3.37,507838,153890,15389035
P01869,Chrompet,853,24-01-2012,50,1.0,1.0,3,Normal Sale,Yes,28-01-1995,Commercial,NoSewr ,No Access,RL,3.2,3.5,2.9,3.23,360914,67671,11278550
P09281,Chrompet,859,02-02-2007,11,1.0,1.0,3,AbNormal,Yes,07-02-1986,Commercial,NoSewr ,Gravel,RL,2.6,2.2,4.7,3.07,344544,61526,12305150
P03923,Chrompet,1137,13-12-2010,70,1.0,1.0,3,AdjLand,No,14-12-2005,Others,NoSewr ,Paved,RM,2.8,2.5,2.5,2.59,313249,114858,10441640
P06483,Chrompet,776,09-08-2009,97,1.0,1.0,2,Family,Yes,13-08-1992,Commercial,AllPub,Gravel,RL,3.9,2.6,3.9,3.38,351359,35136,11711950
P02676,Anna Nagar,1979,20-08-2011,171,2.0,1.0,5,Partial,Yes,24-08-1995,Others,AllPub,Paved,RH,3.1,3.2,4.2,3.565,425054,190542,14657040
P09105,Chrompet,1167,05-04-2007,137,1.0,1.0,3,Partial,No,12-04-1979,Other,AllPub,No Access,RL,3.6,2.1,2.5,2.67,263152,33955,8488790
P08295,KK Nagar,1489,24-02-2008,198,2.0,1.0,4,Family,Yes,03-03-1978,House,NoSewr ,Paved,RH,3.4,2.5,3.2,3.05,322966,183305,8728800
P08494,Adyar,900,09-12-2007,28,1.0,1.0,3,AdjLand,Yes,12-12-1994,House,NoSewr ,Paved,RL,4.9,2.4,4.8,4.35,323070,146850,9789995
P02852,KK Nagar,2310,12-07-2011,125,4.0,2.0,6,Family,No,18-07-1985,Others,NoSeWa,Gravel,RM,3.8,3.4,4.8,4.08,636349,155841,12986720
P03522,Karapakkam,817,10-03-2011,182,1.0,1.0,2,Normal Sale,No,12-03-2002,House,AllPub,Gravel,A,3.9,4.6,2.6,3.59,196025,51340,4667250
P00694,Anna Nagar,1545,12-10-2013,45,1.0,1.0,4,AdjLand,Yes,18-10-1991,Commercial,NoSewr ,No Access,RM,3.4,4.2,2.4,3.2,570913,247396,19030440
P04733,Chrompet,787,08-07-2010,147,1.0,1.0,2,Partial,Yes,16-07-1979,Commercial,ELO,Gravel,RM,3.9,3.8,2.2,3.35,351104,140441,11703450
P05713,Velachery,1992,06-01-2010,130,3.0,2.0,5,AdjLand,Yes,17-01-1966,Other,ELO,Paved,RH,4.3,2.4,5.0,3.66,448669,207078,11504330
P08585,Velachery,1700,29-10-2007,126,2.0,1.0,4,AdjLand,Yes,08-11-1965,House,NoSeWa,No Access,A,4.2,3.9,2.3,3.5,278399,80589,7326290
P05222,Karapakkam,1173,07-04-2010,79,1.0,1.0,3,Family,No,12-04-1988,Others,AllPub,Gravel,RM,4.1,3.5,2.7,3.36,367285,131173,8744875
P06507,KK Nagar,1503,04-08-2009,121,2.0,1.0,4,Partial,Yes,07-08-1998,House,NoSewr ,Gravel,RM,3.9,4.8,4.0,4.21,496369,183441,10790620
P06855,Chrompet,1174,05-05-2009,22,1.0,1.0,3,Normal Sale,No,11-05-1984,Commercial,NoSeWa,Gravel,RH,3.9,3.4,3.7,3.64,376424,64901,12980150
P00064,Anna Nagar,1684,03-01-2015,82,1.0,1.0,4,Normal Sale,Yes,09-01-1990,Commercial,AllPub,Paved,RL,2.5,4.5,2.4,2.96,735253,317947,19871700
P09786,Velachery,1901,24-07-2005,93,3.0,2.0,5,Partial,Yes,27-07-1995,House,ELO,Paved,A,2.3,3.0,3.7,3.04,282713,145640,8567050
P00773,Anna Nagar,1608,04-08-2013,129,1.0,1.0,4,AbNormal,Yes,15-08-1971,Commercial,ELO,Paved,RL,3.0,3.0,3.2,3.08,557665,223066,18588840
P03607,Karapakkam,616,17-02-2011,84,1.0,1.0,2,AbNormal,No,24-02-1981,Commercial,ELO,Gravel,RH,3.9,2.0,4.9,3.73,231387,74861,6805500
P08796,Velachery,1572,14-08-2007,1,2.0,1.0,4,AdjLand,No,19-08-1987,House,NoSewr ,Gravel,C,2.0,4.3,2.4,3.16,285791,65324,8165450
P00073,Chrompet,1277,27-12-2014,19,2.0,1.0,4,Partial,No,31-12-1998,Commercial,ELO,Paved,RM,4.7,3.5,2.0,3.41,432216,72036,14407200
P06738,KK Nagar,1618,09-06-2009,146,2.0,1.0,4,AbNormal,Yes,13-06-1992,Others,NoSeWa,Paved,RL,2.5,2.7,3.7,3.04,425052,138142,10626300
P08883,Chrompet,802,09-07-2007,161,1.0,1.0,3,AbNormal,No,11-07-1998,Others,NoSeWa,No Access,RM,3.4,4.2,3.6,3.78,262960,47811,7968490
P00615,Chrompet,1026,25-11-2013,189,1.0,1.0,3,Partial,Yes,29-11-1997,Commercial,AllPub,Gravel,RM,2.0,3.7,5.0,3.58,426348,113693,14211600
P09668,Velachery,1743,02-04-2006,86,2.0,1.0,4,Normal Sale,No,06-04-1988,Commercial,NoSewr ,Paved,A,3.7,2.3,2.4,2.68,474930,187472,12498160
P01090,Chrompet,1251,02-01-2013,14,2.0,1.0,4,Family,No,05-01-2004,Commercial,ELO,Paved,RL,3.3,2.7,3.5,3.12,429255,69235,13846950
P07924,Anna Nagar,1645,24-06-2008,193,1.0,1.0,4,Family,No,04-07-1969,House,AllPub,No Access,RH,3.4,2.1,4.8,3.635,341313,90348,10038630
P06246,KK Nagar,1399,30-09-2009,46,2.0,1.0,4,Normal Sale,No,06-10-1985,House,NoSeWa,Gravel,RM,3.3,3.6,4.2,3.75,366861,103473,9406680
P07347,Chrompet,1249,13-12-2008,100,2.0,1.0,4,Normal Sale,No,21-12-1977,Others,AllPub,Paved,RL,3.6,4.3,2.0,3.4,324502,59000,9833380
P07198,KK Nagar,1693,24-01-2009,99,2.0,1.0,4,Family,Yes,29-01-1989,House,NoSeWa,Paved,RL,3.1,2.1,4.9,3.52,481046,180392,10021800
P08154,Adyar,1071,07-04-2008,57,1.0,1.0,3,Family,No,13-04-1984,Others,NoSewr ,Paved,C,3.0,4.9,2.0,2.88,243380,14750,7375160
P07313,T Nagar,1563,24-12-2008,114,1.0,1.0,4,AbNormal,No,26-12-2002,Others,NoSeWa,No Access,RH,3.5,3.9,2.9,3.33,405998,112777,11277710
P02779,Chrompet,849,30-07-2011,132,1.0,1.0,3,Normal Sale,No,07-08-1979,Others,NoSeWa,Paved,RH,2.3,2.4,4.0,2.85,190651,84734,7061130
P02189,Chrompet,958,19-11-2011,49,1.0,1.0,3,Family,No,22-11-1999,Others,ELO,Paved,RM,3.9,2.5,3.9,3.34,270242,45040,9008060
P06037,KK Nagar,1609,05-11-2009,191,2.0,1.0,4,Family,No,13-11-1979,House,NoSeWa,Paved,RL,2.2,4.6,4.8,3.96,362914,207379,8640800
P07501,Chrompet,916,21-10-2008,109,1.0,1.0,3,AbNormal,No,25-10-1992,House,AllPub,No Access,RL,2.2,2.0,3.8,2.6,212274,87838,7319800
P05607,Adyar,854,26-01-2010,54,1.0,1.0,3,Normal Sale,Yes,04-02-1976,Commercial,NoSeWa,Gravel,RH,4.9,2.4,2.4,3.15,441832,71648,11941410
P09533,Velachery,1999,21-10-2006,45,3.0,2.0,5,AdjLand,Yes,25-10-1988,Commercial,NoSeWa,Paved,RM,2.8,4.5,2.2,3.39,713650,329377,18298710
P02367,KK Nagar,2025,17-10-2011,3,3.0,2.0,5,AdjLand,No,19-10-2003,Commercial,NoSewr ,Gravel,RM,4.6,3.7,2.0,3.29,688161,282323,17645160
P02029,Karapakkam,1254,22-12-2011,125,1.0,1.0,3,AdjLand,Yes,26-12-1994,Others,NoSewr ,No Access,RL,4.8,3.1,4.2,4.05,320272,112528,8656000
P03628,Karapakkam,614,11-02-2011,66,1.0,1.0,2,Normal Sale,No,16-02-1989,House,ELO,Paved,RH,3.1,4.9,3.1,3.64,175590,48775,4877500
P00742,Chrompet,898,24-08-2013,130,1.0,1.0,3,AbNormal,Yes,03-09-1973,Commercial,NoSewr ,Gravel,RM,3.4,3.8,3.0,3.44,335577,51627,12906800
